paper_id,topic,canonical_title,authors,year,venue,doi,arxiv_id,url,source_type,claim_supported,section_or_page,search_query,search_date,retraction_checked,satoshi_state,musashi_state,harvey_state,notes
P2,financial ML methodology,Advances in Financial Machine Learning,"Lopez de Prado, M.",2018,Wiley (book),,,,primary paper,P2 related work: purging/embargo practices vs our point-in-time contract,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,book; cite specific chapters after inspection
P2,automl,Efficient and Robust Automated Machine Learning,"Feurer, M.; et al.",2015,NeurIPS,,,,primary paper,P2 related work: pipeline search precedent (auto-sklearn),,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,author list incomplete
P2,evolutionary automl,Regularized Evolution for Image Classifier Architecture Search,"Real, E.; Aggarwal, A.; Huang, Y.; Le, Q. V.",2019,AAAI,,1802.01548,,primary paper,P2 related work: evolutionary search over architectures vs our mixed data+policy genome,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P2,rl algorithm,Soft Actor-Critic: Off-Policy Maximum Entropy Deep RL with a Stochastic Actor,"Haarnoja, T.; Zhou, A.; Abbeel, P.; Levine, S.",2018,ICML,,1801.01290,,primary paper,P2 methodology: the L1 policy family used,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P2,rl tooling,Stable-Baselines3: Reliable Reinforcement Learning Implementations,"Raffin, A.; et al.",2021,JMLR,,,,primary paper,P2 reproducibility: exact artifact format dependency,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P2,quant platform,Qlib: An AI-oriented Quantitative Investment Platform,"Yang, X.; et al.",2020,arXiv,,2009.11189,,primary paper,P2 related work: platform-level trading ML precedent,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P3,portfolio theory,Portfolio Selection,"Markowitz, H.",1952,Journal of Finance,,,,primary paper,P3 baseline lineage,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P3,naive diversification,Optimal Versus Naive Diversification: How Inefficient Is the 1/N Portfolio Strategy?,"DeMiguel, V.; Garlappi, L.; Uppal, R.",2009,Review of Financial Studies,,,,primary paper,P3 mandatory equal-weight baseline justification,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P3,rl trading,Learning to Trade via Direct Reinforcement,"Moody, J.; Saffell, M.",2001,IEEE Transactions on Neural Networks,,,,primary paper,P3 related work: direct RL for trading precedent,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P3,rl portfolio,A Deep Reinforcement Learning Framework for the Financial Portfolio Management Problem,"Jiang, Z.; Xu, D.; Liang, J.",2017,arXiv,,1706.10059,,primary paper,P3 related work: end-to-end RL portfolio vs our frozen-specialist hierarchy,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P3,mixture of experts,Adaptive Mixtures of Local Experts,"Jacobs, R. A.; Jordan, M. I.; Nowlan, S. J.; Hinton, G. E.",1991,Neural Computation,,,,primary paper,P3 related work: specialist composition ancestry,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P3,regime switching,International Asset Allocation with Regime Shifts,"Ang, A.; Bekaert, G.",2002,Review of Financial Studies,,,,primary paper,P3 related work: regime-conditional allocation,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P4,optimal execution,Optimal Execution of Portfolio Transactions,"Almgren, R.; Chriss, N.",2000,Journal of Risk,,,,primary paper,P4 related work: execution cost modeling lineage,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P4,order placement,Optimal Order Placement in Limit Order Markets,"Cont, R.; Kukanov, A.",,,,1210.1625,https://arxiv.org/abs/1210.1625,primary paper,P4/P2 routing rationale: market vs limit tradeoff,,repo:doc10-references,2026-07-31,no,url_verified_in_repo,pending,pending,URL already versioned in work-plan doc 10; complete fields on open
P4,fill-time modeling,Deep Attentive Survival Analysis in Limit Order Books,"Arroyo, A.; Cartea, A.; Moreno-Pino, F.; Zohren, S.",,,,2306.05479,https://arxiv.org/abs/2306.05479,primary paper,P4 auxiliary-model design: fill-time survival estimation,,repo:doc10-references,2026-07-31,no,url_verified_in_repo,pending,pending,title as listed in doc 10 shorthand; confirm exact title on open
P4,macro events fx,Micro Effects of Macro Announcements: Real-Time Price Discovery in Foreign Exchange,"Andersen, T. G.; Bollerslev, T.; Diebold, F. X.; Vega, C.",,NBER Working Paper w8959,,,https://www.nber.org/papers/w8959,primary paper,P4/P2 event-phase feature rationale,,repo:doc10-references,2026-07-31,no,url_verified_in_repo,pending,pending,
P4,simulator,NautilusTrader Order Model and Backtesting Documentation,NautilusTrader project,,official documentation,,,https://nautilustrader.io/docs/latest/concepts/orders/,official documentation,P4 simulation semantics reference,,repo:doc10-references,2026-07-31,no,url_verified_in_repo,pending,pending,
P4,broker api,OANDA REST-v20 API Documentation,OANDA,,official documentation,,,https://developer.oanda.com/rest-live-v20/introduction/,official documentation,P4 venue capability constraints,,repo:doc10-references,2026-07-31,no,url_verified_in_repo,pending,pending,
P4,broker api,Alpaca Crypto Orders Documentation,Alpaca,,official documentation,,,https://docs.alpaca.markets/us/docs/crypto-orders,official documentation,P4 venue order-type constraints,,repo:doc10-references,2026-07-31,no,url_verified_in_repo,pending,pending,
P4,broker api,MQL5 WebRequest and OrderSend Documentation,MetaQuotes,,official documentation,,,https://www.mql5.com/en/docs/network/webrequest,official documentation,P4 MT5 bridge transport constraints,,repo:doc10-references,2026-07-31,no,url_verified_in_repo,pending,pending,
P5,ml technical debt,Hidden Technical Debt in Machine Learning Systems,"Sculley, D.; Holt, Gary; Golovin, Daniel; Davydov, Eugene; Phillips, Todd; Ebner, Dietmar; Chaudhary, Vinay; Young, Michael; Crespo, Jean-Francois; Dennison, Dan",2015,Advances in Neural Information Processing Systems 28,,,https://proceedings.neurips.cc/paper_files/paper/2015/hash/86df7dcfd896fcaf2674f757a2463eba-Abstract.html,primary paper,P5 motivation: operational failure surfaces of ML systems,Abstract; Sections 2-5,title and authors; official NeurIPS proceedings,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Primary proceedings record and manuscript opened; use for system-level debt and feedback-loop framing."
P5,ml production readiness,The ML Test Score: A Rubric for ML Production Readiness and Technical Debt Reduction,"Breck, Eric; Cai, Shanqing; Nielsen, Eric; Salib, Michael; Sculley, D.",2017,IEEE International Conference on Big Data,10.1109/BigData.2017.8258038,,https://research.google/pubs/the-ml-test-score-a-rubric-for-ml-production-readiness-and-technical-debt-reduction/,primary paper,P5 related work: production-readiness scoring versus continuous audit,Abstract; Sections II-IV; test and monitoring tables,title and authors; official Google publication record; Crossref DOI,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Primary record and manuscript opened; rubric coverage is related work rather than evidence of this system's effectiveness."
P5,se for ml,Software Engineering for Machine Learning: A Case Study,"Amershi, Saleema; Begel, Andrew; Bird, Christian; DeLine, Robert; Gall, Harald C.; Kamar, Ece; Nagappan, Nachiappan; Nushi, Besmira; Zimmermann, Thomas",2019,ICSE Software Engineering in Practice,10.1109/ICSE-SEIP.2019.00042,,https://www.microsoft.com/en-us/research/publication/software-engineering-for-machine-learning-a-case-study/,primary paper,P5 related work: empirical ML engineering workflow and challenges,Sections III-V; nine-stage workflow,title and authors; official Microsoft publication record; Crossref DOI,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Primary manuscript and metadata opened; supports engineering-context claims only."
P5,sre,Site Reliability Engineering: How Google Runs Production Systems,"Beyer, Betsy; Jones, Chris; Petoff, Jennifer; Murphy, Niall Richard",2016,O'Reilly Media,,,https://research.google/pubs/site-reliability-engineering-how-google-runs-production-systems/,book,P5 related work: monitoring and operational reliability practice,Part II Principles; Chapter 6 Monitoring Distributed Systems; Part III Practices,title; editors; official Google publication record,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Verified as an edited book; cite specific chapter authors at drafting time where required."
P5,ml deployment,Challenges in Deploying Machine Learning: A Survey of Case Studies,"Paleyes, Andrei; Urma, Raoul-Gabriel; Lawrence, Neil D.",2023,ACM Computing Surveys 55(6),10.1145/3533378,2011.09926,https://www.repository.cam.ac.uk/items/2bc614c6-2845-4847-a344-66195b14f0c0,survey,P5 related work: deployment lifecycle and monitoring challenges,Sections 2-7 and 10; especially Section 5 Verification and Section 6.2 Monitoring,title and DOI; accepted manuscript; ACM metadata,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Issue metadata is 2023; online-first records may show 2022. Accepted manuscript opened."
P5,prompt injection,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,"Greshake, Kai; Abdelnabi, Sahar; Mishra, Shailesh; Endres, Christoph; Holz, Thorsten; Fritz, Mario",2023,AISec Workshop,10.1145/3605764.3623985,2302.12173,https://arxiv.org/abs/2302.12173,primary paper,P5 social-input trust-boundary design rationale,Sections 1 and 3-5,title and DOI; ACM metadata; arXiv primary manuscript,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Primary manuscript opened; supports treating retrieved social content as untrusted input."
P5,publication policy,IEEE Submission and Peer Review Policies including AI Guidance,IEEE,,official policy,,,https://journals.ieeeauthorcenter.ieee.org/become-an-ieee-journal-author/publishing-ethics/guidelines-and-policies/submission-and-peer-review-policies/,official documentation,All papers: AI-generated-content disclosure and authorship compliance,Guidelines for AI-Generated Text; Use by Authors; Use by Reviewers,official IEEE policy page; AI generated text guidance,2026-08-01,official_page_checked_2026-08-01,url_verified_in_repo,verified,pending,"Current policy verified; recheck immediately before every submission because policy can change."
P5,preprint policy,arXiv Submission Guidance,arXiv,,official policy,,,https://info.arxiv.org/help/submit/index.html,official documentation,All papers: preprint submission-process compliance,Submission Overview; Submission Checklist,official arXiv submission guidance,2026-08-01,official_page_checked_2026-08-01,url_verified_in_repo,verified,pending,"Current guidance verified; recheck immediately before every submission because process rules can change."
